time,hip_flexion_r,knee_angle_r,ankle_angle_r,hip_flexion_l,knee_angle_l,ankle_angle_l
1.6,50.00114652,38.70914921,10.66693516,45.5018442,36.84783846,13.08530751
1.6166667,48.81293048,37.62239419,10.09593406,44.39481624,35.6053723,12.65225226
1.6333333,46.82381158,35.59766114,9.4561515,42.38450717,33.24599706,11.8701367
1.65,43.98065205,32.8283319,8.65770362,39.31081603,29.81932798,10.94027597
1.6666667,41.00816837,29.53362023,7.86555771,35.99605996,25.67842463,9.81440166
1.6833333,38.58152222,26.60310644,7.01331499,33.21201611,21.85353193,8.71549135
1.7,35.1165101,22.87386399,5.85572409,29.51738305,17.40559,7.4881341
1.7166667,33.43345615,20.09746394,4.83812269,27.62714389,14.06752907,6.33913766
1.7333333,30.3075644,16.93084843,3.40822539,24.4014001,10.67337871,5.53042782
1.75,28.67544256,14.81753383,2.19659315,22.55708974,8.25965312,4.77366869
1.7666667,26.94087043,12.81740607,1.06088312,20.82373253,6.28626209,4.33323302
1.7833333,25.19855357,11.14760291,0.16809183,19.15576402,4.61373362,3.93295771
1.8,24.13856036,10.05387268,-0.30006317,18.00065794,3.32460141,3.80619323
1.8166667,22.93065509,9.11072105,-1.19765377,16.88607552,2.46396332,3.72682773
1.8333333,22.19342574,8.38914827,-1.85519618,16.28362873,1.77766515,3.61058351
1.85,21.13410828,7.18705414,-2.33988082,15.53637491,0.93817332,3.36679892
1.8666667,20.24868076,6.02915568,-2.9523746,15.12264845,0.47949155,3.34159373
1.8833333,20.08829141,5.27009804,-2.95244875,15.4088551,0.32444037,3.46947158
1.9,19.30013755,4.56289089,-3.42555012,15.11748613,0.25878577,3.76628758
1.9166667,19.04430038,4.27993627,-3.64600338,15.11923691,0.22543695,3.94095784
1.9333333,18.70962471,4.09234779,-3.74893357,15.02575766,0.20894884,3.98796287
1.95,18.34190188,3.88375411,-3.75367619,14.95309809,0.19753016,3.9065918
1.9666667,17.97661505,3.69313408,-3.65857754,14.83008624,0.19069281,3.92187102
1.9833333,17.85359066,3.60243687,-3.70108576,14.89876073,0.18581506,3.72935626
2,17.62138374,3.44536907,-3.59359745,14.82353771,0.18251316,3.66788811
